                 Категория  Количество записей
1             В стиле КРОК               11040
10                  Сервис                6033
4     Мерч и сувениры КРОК                4132
7   Прокачай эффективность                3291
3             Лучше вместе                3099
0            Без категории                2741
6            Поймай баланс                2188
11      Смена деятельности                2168
5      Новогодние атрибуты                1998
8            Развивай себя                 386
2           КРОК FEST TOUR                  62
9            Своими руками                  51
