,Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст,Итого бобров,Recency,Frequency,Monetary
0,SU181063,Департамент внутренней автоматизации,,центральная служба технической поддержки,Инженер технической поддержки,нет,"2 г., 9 мес.,12 дн.",Мужской,23,1905,-48.0,36.0,9090.0
1,SU198055,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Инженер-разработчик,нет,"0 г., 9 мес.,15 дн.",Женский,25,2680,-21.0,27.0,30.0
2,SU158012,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,Старший инженер технической поддержки,нет,"3 г., 8 мес.,9 дн.",Мужской,34,1625,133.0,14.0,0.0
3,SU196620,Департамент телекоммуникаций,,Группа поддержки продаж сетевых решений,Менеджер по работе с партнерами,нет,"1 г., 5 мес.,10 дн.",Женский,29,1900,-53.0,29.0,3740.0
4,SU160331,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Инженер-разработчик,нет,"3 г., 7 мес.,10 дн.",Мужской,27,2665,-49.0,29.0,13825.0
5,SU206,Департамент инженерных и мультимедийных систем,,монтажники,Монтажник,нет,"16 г., 9 мес.,15 дн.",Мужской,58,200,15.0,1.0,0.0
6,SU197562,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Системный аналитик,нет,"1 г., 0 мес.,22 дн.",Женский,25,505,42.0,17.0,300.0
7,SU165076,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер-диспетчер,нет,"3 г., 4 мес.,4 дн.",Мужской,57,300,,2.0,0.0
8,SU432,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,,Эксперт,нет,"17 г., 5 мес.,23 дн.",Мужской,43,500,136.0,7.0,2550.0
9,SU137790,Департамент инфраструктурных решений и сервисов,,группа UNIX и Open Source,Ведущий инженер,нет,"4 г., 9 мес.,11 дн.",Мужской,52,670,-48.0,11.0,1800.0
10,SU61296,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Диспетчер,нет,"11 г., 10 мес.,28 дн.",Мужской,66,300,38.0,3.0,0.0
11,SU158950,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"3 г., 7 мес.,10 дн.",Женский,41,800,,2.0,900.0
12,SU189876,Департамент инфраструктурных решений и сервисов,,группа инженеров поддержки баз данных,Эксперт,нет,"2 г., 2 мес.,6 дн.",Мужской,43,1565,135.0,9.0,400.0
13,SU197279,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Младший инженер технической поддержки,нет,"1 г., 2 мес.,9 дн.",Мужской,23,1200,,6.0,980.0
14,SU118753,Департамент продаж и менеджмента проектов,,группа управления проектами и поддержки продаж,Менеджер проектов,нет,"5 г., 4 мес.,15 дн.",Мужской,30,405,10.0,3.0,3825.0
15,SU197624,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Системный инженер,нет,"1 г., 0 мес.,9 дн.",Мужской,39,515,-54.0,13.0,2800.0
16,SU55608,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Ведущий инженер-разработчик,нет,"7 г., 8 мес.,24 дн.",Мужской,42,1170,-48.0,12.0,420.0
17,SU197705,Департамент бизнес-приложений,,группа консультантов по производству,Консультант по внедрению бизнес-приложений,нет,"0 г., 11 мес.,1 дн.",Мужской,22,1185,-54.0,15.0,350.0
18,SU149521,Департамент бизнес-приложений,,Группа консультантов по автоматизации бизнес-процессов,Консультант по внедрению бизнес-приложений,нет,"4 г., 1 мес.,1 дн.",Женский,27,1630,36.0,12.0,0.0
19,SU191117,Департамент по работе с персоналом,,Корпоративная культура,Менеджер по развитию корпоративной культуры,нет,"2 г., 0 мес.,15 дн.",Женский,22,1390,36.0,6.0,1250.0
20,SU190779,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Младший инженер,нет,"2 г., 1 мес.,2 дн.",Мужской,21,1815,-53.0,12.0,1135.0
21,SU237,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,,Технический менеджер,нет,"17 г., 1 мес.,13 дн.",Мужской,41,1265,-49.0,11.0,8350.0
22,SU199028,Департамент бизнес-приложений,,группа консультантов по финансам,Стажер,нет,"0 г., 4 мес.,25 дн.",Мужской,20,745,-21.0,11.0,0.0
23,SU78866,Финансовый департамент,отдел налоговой и бухгалтерской отчетности,,Главный бухгалтер,нет,"18 г., 5 мес.,23 дн.",Женский,47,425,-46.0,15.0,3350.0
24,SU197418,Департамент маркетинга,контакт-центр,,Оператор,нет,"1 г., 1 мес.,14 дн.",Женский,21,1875,-48.0,39.0,1700.0
25,SU199764,Департамент разработки программного обеспечения,Продуктовый офис,,Менеджер по продвижению решений,нет,"0 г., 1 мес.,7 дн.",Мужской,29,395,-25.0,13.0,0.0
26,SU196732,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"1 г., 4 мес.,26 дн.",Мужской,27,950,-21.0,4.0,350.0
27,SU196835,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Младший менеджер проектов,нет,"1 г., 4 мес.,12 дн.",Мужской,32,4175,-54.0,253.0,8700.0
28,SU199806,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа аналитиков,Стажер,нет,"0 г., 1 мес.,5 дн.",Женский,21,470,,4.0,0.0
29,SU168524,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Технический менеджер,нет,"3 г., 2 мес.,16 дн.",Мужской,27,3325,-48.0,32.0,9735.0
30,SU199332,Департамент телекоммуникаций,,группа унифицированных коммуникаций,Специалист по продвижению решений,нет,"0 г., 2 мес.,26 дн.",Женский,23,1240,-54.0,38.0,100.0
31,SU150221,Департамент телекоммуникаций,,группа технических менеджеров,Технический менеджер,нет,"4 г., 1 мес.,11 дн.",Мужской,38,2410,-53.0,56.0,10210.0
